1	[[-8.639847,41.159826],[-8.640351,41.159871],[-8.642196,41.160114],[-8.644455,41.160492],[-8.646921,41.160951],[-8.649999,41.161491],[-8.653167,41.162031],[-8.656434,41.16258],[-8.660178,41.163192],[-8.663112,41.163687],[-8.666235,41.1642],[-8.669169,41.164704],[-8.670852,41.165136],[-8.670942,41.166576],[-8.66961,41.167962],[-8.668098,41.168988],[-8.66664,41.170005],[-8.665767,41.170635],[-8.66574,41.170671]]
3	[[-8.615907,41.140557],[-8.614449,41.141088],[-8.613522,41.14143],[-8.609904,41.140827],[-8.609301,41.139522],[-8.609544,41.138865],[-8.610777,41.137551],[-8.611452,41.136012],[-8.610624,41.134563],[-8.609319,41.134446],[-8.608014,41.1345],[-8.607987,41.134536],[-8.607987,41.134518],[-8.607861,41.134536],[-8.60778,41.134545],[-8.607411,41.134527],[-8.605476,41.134392],[-8.604603,41.134176],[-8.604594,41.134158]]
4	[[-8.619894,41.148009],[-8.620164,41.14773],[-8.62065,41.148513],[-8.62092,41.150313],[-8.621208,41.151951],[-8.621118,41.153517],[-8.620884,41.155416],[-8.620938,41.155479],[-8.620974,41.155461],[-8.621028,41.155461],[-8.619777,41.155344],[-8.619282,41.155335],[-8.618112,41.155101],[-8.61534,41.154579],[-8.613297,41.153994],[-8.612064,41.153832],[-8.611911,41.155227],[-8.611794,41.156838],[-8.610804,41.157171],[-8.61021,41.15727],[-8.609508,41.157333],[-8.60949,41.157351]]
5	[[-8.618868,41.155101],[-8.6175,41.154912],[-8.615079,41.154525],[-8.613468,41.154228],[-8.613261,41.154102],[-8.613297,41.153832],[-8.612037,41.153904],[-8.611929,41.155803],[-8.610876,41.157171],[-8.610183,41.157252],[-8.610138,41.15727],[-8.609508,41.157369],[-8.608707,41.158395],[-8.607915,41.160042],[-8.607654,41.1606],[-8.606295,41.164155],[-8.60643,41.166693],[-8.60634,41.169123],[-8.60445,41.171112],[-8.60121,41.171166],[-8.597205,41.171625],[-8.593578,41.170968],[-8.5905,41.168979],[-8.587206,41.167062],[-8.583624,41.166252],[-8.58213,41.1642],[-8.58114,41.163381],[-8.579376,41.164326],[-8.577468,41.165316],[-8.576298,41.163858],[-8.575101,41.16231],[-8.575065,41.162265]]
6	[[-8.56242,41.168403],[-8.562429,41.168358],[-8.562348,41.167953],[-8.564571,41.167125],[-8.566596,41.166621],[-8.568,41.167476],[-8.570295,41.167755],[-8.570223,41.169321],[-8.570898,41.168817],[-8.572626,41.16924],[-8.57403,41.168457],[-8.576046,41.167197],[-8.577711,41.165442],[-8.580087,41.164065],[-8.58222,41.164452],[-8.584056,41.163201],[-8.586387,41.163381],[-8.588772,41.1642],[-8.589546,41.164164],[-8.590158,41.163444],[-8.591607,41.16186],[-8.593272,41.160564],[-8.595792,41.160744],[-8.596701,41.160942],[-8.597898,41.161158],[-8.598528,41.161221],[-8.600886,41.161527],[-8.603532,41.161788],[-8.603955,41.161815],[-8.60571,41.162031],[-8.60787,41.162292],[-8.61003,41.16258],[-8.612199,41.162823],[-8.614602,41.163165],[-8.617104,41.163498],[-8.619219,41.163759],[-8.620488,41.163894],[-8.62047,41.163903],[-8.620452,41.163912],[-8.620452,41.163921],[-8.621523,41.164038],[-8.623044,41.164182],[-8.623026,41.1642],[-8.623017,41.164218]]
7	[[-8.608716,41.153499],[-8.607627,41.153481],[-8.606502,41.153472],[-8.606493,41.153472],[-8.605269,41.153427],[-8.604756,41.154156],[-8.604648,41.155623],[-8.604477,41.157351],[-8.604279,41.159016],[-8.604351,41.16015],[-8.604387,41.160276],[-8.603892,41.161545],[-8.60562,41.162085],[-8.607987,41.162391],[-8.6103,41.162661],[-8.610957,41.162751],[-8.610957,41.162805],[-8.611965,41.162841],[-8.614242,41.163129],[-8.616573,41.16339],[-8.61894,41.163705],[-8.621082,41.163993],[-8.623305,41.164281],[-8.624889,41.164722],[-8.625042,41.166513],[-8.626068,41.166972],[-8.626554,41.166945],[-8.628309,41.16744],[-8.630352,41.168079],[-8.631639,41.16798],[-8.631981,41.168484],[-8.632206,41.16843],[-8.63271,41.168304],[-8.632737,41.168295]]
8	[[-8.612208,41.14053],[-8.612235,41.140521],[-8.614035,41.140323],[-8.614809,41.14035],[-8.61561,41.140287],[-8.616024,41.140467],[-8.616006,41.140548],[-8.61462,41.141097],[-8.614314,41.142393],[-8.613711,41.143167],[-8.612811,41.143806],[-8.611983,41.144436],[-8.611299,41.144985],[-8.611056,41.145084],[-8.610777,41.145921],[-8.609112,41.146839],[-8.60886,41.147442],[-8.610876,41.147955],[-8.610237,41.149584],[-8.610066,41.150727],[-8.609985,41.150898],[-8.609805,41.151861],[-8.610003,41.153472],[-8.609328,41.155056],[-8.609238,41.156847],[-8.608401,41.157477],[-8.607276,41.157657],[-8.606772,41.15826]]
9	[[-8.618643,41.141412],[-8.618499,41.141376],[-8.620326,41.14251],[-8.622153,41.143815],[-8.623953,41.144373],[-8.62668,41.144778],[-8.627373,41.144697],[-8.630226,41.14521],[-8.632746,41.14692],[-8.631738,41.148225],[-8.629938,41.150385],[-8.62911,41.151213],[-8.629128,41.15124],[-8.628786,41.152203],[-8.628687,41.152374],[-8.628759,41.152518],[-8.630838,41.15268],[-8.632323,41.153022],[-8.631144,41.154489],[-8.630829,41.154507],[-8.630829,41.154516],[-8.630829,41.154498],[-8.630838,41.154489]]
10	[[-8.666757,41.174055],[-8.666784,41.174064],[-8.666649,41.174073],[-8.666325,41.174847],[-8.666811,41.175549],[-8.665524,41.176368],[-8.663841,41.17716],[-8.663013,41.177862],[-8.662032,41.176872],[-8.65962,41.17707],[-8.657757,41.177457],[-8.658576,41.178546],[-8.659521,41.17977],[-8.660709,41.180166],[-8.662806,41.180562],[-8.663193,41.181219],[-8.662491,41.181642],[-8.662554,41.181714],[-8.662554,41.181714]]
11	[[-8.599239,41.149188],[-8.598681,41.149296],[-8.597943,41.150583],[-8.596962,41.152266],[-8.595765,41.154345],[-8.594388,41.156739],[-8.59293,41.159286],[-8.591589,41.161464],[-8.59005,41.163336],[-8.589078,41.164632],[-8.588673,41.165757],[-8.588547,41.166135],[-8.587602,41.168196],[-8.586585,41.168826],[-8.584767,41.168529],[-8.584317,41.169258],[-8.584326,41.169258]]
